ID,Number,From,To,WaitToBoard,TotalTime
396,5,4,5,35,48
393,4,1,5,16,50
395,3,1,0,90,100
399,4,2,0,71,92
398,5,4,0,59,96
402,2,4,5,25,35
401,3,0,5,3,38
408,5,5,4,23,34
403,4,4,2,46,62
404,3,1,0,71,81
409,1,0,3,73,97
406,4,0,4,79,113
407,2,0,5,77,122
405,6,0,5,81,126
411,2,0,5,146,178
410,5,0,5,150,182
419,1,3,1,0,16
412,3,3,0,17,43
418,1,0,1,29,45
414,4,0,1,37,53
415,4,2,3,61,72
421,3,4,5,72,82
416,6,0,5,32,91
413,5,5,4,102,113
417,4,4,0,105,131
420,5,0,2,128,144
422,3,4,5,13,23
426,3,1,0,43,53
424,6,4,0,25,56
423,2,1,4,72,92
425,1,1,5,66,96
427,4,0,1,28,39
429,1,0,2,22,45
428,1,1,5,38,68
431,3,1,0,89,99
430,4,5,0,66,102
439,4,5,4,17,31
432,6,5,1,28,63
434,3,5,0,24,70
441,2,0,1,59,73
437,4,0,3,66,96
433,3,3,4,106,116
436,2,1,4,83,110
440,5,0,5,60,113
435,3,0,5,71,124
438,5,1,4,145,166
445,4,0,1,13,26
444,2,1,3,32,47
446,2,3,4,40,50
443,4,0,4,19,60
442,2,0,5,23,75
447,6,4,5,8,19
451,5,0,1,42,55
449,4,2,3,71,82
450,1,1,3,60,81
448,5,0,4,47,94
456,3,0,2,16,40
452,1,0,3,23,57
457,2,0,4,16,60
453,4,1,5,33,74
458,5,0,5,13,67
454,2,1,0,107,117
455,6,2,0,92,113
460,3,0,4,3,28
459,3,1,0,48,58
461,4,0,1,3,16
464,3,0,2,0,26
463,4,0,3,1,38
469,2,3,5,28,43
466,6,1,5,11,50
465,1,1,5,11,50
470,2,2,1,61,71
468,2,1,0,76,87
462,3,1,0,90,101
467,2,0,2,92,107
474,2,0,1,8,19
471,3,0,2,13,35
475,3,1,3,20,40
472,4,1,0,81,92
473,1,5,0,56,92
478,2,0,1,1,12
477,3,0,1,1,12
476,1,0,5,3,40
479,6,0,2,28,44
480,1,2,5,46,66
481,2,2,1,18,28
488,6,1,0,7,20
487,6,1,0,11,24
483,4,0,2,41,58
482,3,0,4,42,81
485,4,3,5,62,83
484,2,3,1,102,117
491,2,5,4,22,34
489,4,5,4,23,35
495,2,1,0,46,56
493,2,5,0,18,61
490,4,0,1,67,81
492,4,0,3,65,95
496,2,0,4,58,99
494,4,0,5,60,111
497,3,0,1,140,152
498,4,0,5,139,176
501,5,1,0,27,39
500,3,1,0,27,39
499,1,2,0,18,40
502,5,3,4,63,74
503,4,1,4,44,71
504,4,3,0,80,101
139,3,3,4,75,-1
141,6,5,0,75,-1
142,5,5,0,75,-1
486,2,3,0,75,-1
